LT-LT-bfdd7070;JAMONDINO - PIMAMPIRO 2 230 KV;ISA INTERCOLOMBIA S.A. E.S.P.;Operación;25/07/2021;Uso STN ;JAMONDINO - PIMAMPIRO;Aérea;No;230.0;230.0;1118.0;1229.8;1118.0;138.71;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-33e26fcd;CABAÑA (CAUCA) - PROPAL 1 115 kV;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;Operación;01/01/2001;Uso STR ;CABAÑA (CAUCA) - CABAÑA (CAUCA);Aérea;No;115.0;123.0;200.0;200.0;458.0;0.74;CAUCA;GUACHENÉ;SubArea Cauca-Narino
LT-LT-b8f7228a;JARDINERA - PANAMERICANA 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;19/11/2023;Uso STR ;JARDINERA - PANAMERICANA;Aérea;No;115.0;115.0;400.0;480.0;480.0;30.0;NARIÑO;TÚQUERRES;SubArea Cauca-Narino
LT-LT-3e1f30ca;ALFEREZ (EEB) - SAN BERNARDINO 1 230 kV;ISA INTERCOLOMBIA S.A. E.S.P.;Operación;24/01/2014;Uso STN ;SAN BERNARDINO - ALFEREZ (EEB);Aérea;No;230.0;245.0;1003.0;1303.9;1003.0;101.03;CAUCA;POPAYÁN;SubArea Cauca-Narino
LT-LT-b01f146d;CABAÑA (CAUCA) - INCAUCA 1 115 KV;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;Operación;22/12/2023; Generación;CABAÑA (CAUCA) - INCAUCA;Aérea;Si;115.0;123.0;405.27;506.58;662.0;15.95;CAUCA;GUACHENÉ;SubArea Cauca-Narino
LT-LT-ba7abaf0;JAMUNDI - PANCE 1 115 kV;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;Operación;30/06/2011;Uso STR ;PANCE - JAMUNDI;Aérea;No;115.0;123.0;590.0;649.0;590.0;11.27;VALLE DEL CAUCA;CALI;SubArea Cauca-Narino
LT-LT-306f8aaa;EL ZAQUE - SAN MARTIN 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;29/01/2019;Uso STR ;EL ZAQUE - SAN MARTIN;Aérea;No;115.0;115.0;400.0;440.0;580.0;64.0;CAUCA;BOLÍVAR;SubArea Cauca-Narino
LT-LT-ee508dfc;CATAMBUCO - SAN MARTIN 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;29/01/2019;Uso STR ;CATAMBUCO - SAN MARTIN;Aérea;No;115.0;115.0;400.0;440.0;580.0;48.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-2564f37d;PASTO - SAN MARTIN 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;29/01/2019;Uso STR ;PASTO - SAN MARTIN;Aérea;No;115.0;115.0;400.0;440.0;580.0;41.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-5a0183db;RIO MAYO - SAN MARTIN 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;29/01/2019;Uso STR ;RIO MAYO - SAN MARTIN;Aérea;No;115.0;115.0;400.0;440.0;580.0;15.0;NARIÑO;SAN PABLO;SubArea Cauca-Narino
LT-LT-0872714a;CATAMBUCO - PASTO 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;01/01/1992;Uso STR ;CATAMBUCO - PASTO;Aérea;No;115.0;115.0;560.0;560.0;580.0;12.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-b004c4a6;JAMONDINO - PASTO 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;01/01/1992;Uso STR ;JAMONDINO - PASTO;Aérea;No;115.0;115.0;560.0;560.0;580.0;6.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-8183a033;CABAÑA (CAUCA) - SANTANDER 1 115 kV;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;Operación;01/01/1989;Uso STR ;SANTANDER - CABAÑA (CAUCA);Aérea;No;115.0;123.0;460.0;506.0;460.0;24.5;CAUCA;SANTANDER DE QUILICHAO;SubArea Cauca-Narino
LT-LT-13273717;EL ZAQUE - PRINCIPAL (POPAYAN) 1 115 kV;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;Operación;01/01/1969;Uso STR ;EL ZAQUE - PRINCIPAL (POPAYAN);Aérea;No;115.0;115.0;531.0;590.0;590.0;70.0;CAUCA;BOLÍVAR;SubArea Cauca-Narino
LT-LT-67d31fbd;JARDINERA - JUNIN (NARIÑO) 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;31/10/2018;Uso STR ;JUNIN (NARIÑO) - JARDINERA;Aérea;No;115.0;230.0;200.0;260.0;900.0;67.0;NARIÑO;BARBACOAS;SubArea Cauca-Narino
LT-LT-93f4f63a;JAMONDINO - PANAMERICANA 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;01/01/1992;Uso STR ;PANAMERICANA - JAMONDINO;Aérea;No;115.0;115.0;560.0;560.0;580.0;57.0;NARIÑO;IPIALES;SubArea Cauca-Narino
LT-LT-0b34405f;BETANIA - TESALIA 1 230 kV;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;Operación;17/12/2014;Uso STN ;BETANIA - TESALIA;Aérea;No;230.0;230.0;1040.0;1381.0;1795.0;35.74;HUILA;YAGUARÁ;SubArea Cauca-Narino
LT-LT-cdbaccf4;JAMONDINO - TESALIA 1 230 kV;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;Operación;17/12/2014;Uso STN ;JAMONDINO - TESALIA;Aérea;No;230.0;230.0;1040.0;1381.0;1795.0;263.12;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-5549ad25;JAMONDINO - MOCOA (JUNIN) 1 230 kV;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;Operación;06/12/2007;Uso STN ;JAMONDINO - MOCOA (JUNIN);Aérea;No;230.0;230.0;690.0;903.0;690.0;75.16;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-0dbee6c4;JAMONDINO - PIMAMPIRO 3 230 KV;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;Operación;11/07/2021;Uso STN ;JAMONDINO - JAMONDINO;Aérea;No;230.0;230.0;1118.0;1229.8;1118.0;132.03;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-182e734b;JAMONDINO - PIMAMPIRO 4 230 KV;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;Operación;11/07/2021;Uso STN ;JAMONDINO - JAMONDINO;Aérea;No;230.0;230.0;1118.0;1229.8;1118.0;132.03;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-f1738374;JAMONDINO - JARDINERA 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;31/10/2018;Uso STR ;JAMONDINO - JARDINERA;Aérea;No;115.0;115.0;330.0;335.0;900.0;47.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-7d37fa21;CATAMBUCO - JAMONDINO 1 115 kV;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;Operación;01/01/1992;Uso STR ;CATAMBUCO - JAMONDINO;Aérea;No;115.0;115.0;560.0;560.0;580.0;26.5;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-fc77e371;PRINCIPAL (POPAYAN) - RIO MAYO 1 115 kV;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;Operación;01/01/1986; A un STR;PRINCIPAL (POPAYAN) - RIO MAYO;Aérea;Si;115.0;123.0;400.0;440.0;590.0;104.0;CAUCA;POPAYÁN;SubArea Cauca-Narino
LT-LT-5bfde1b2;JAMONDINO - FLORIDA (CAUCA) 1 230 kV;operador;Operacion;11/11/2008;A un STR;JAMONDINO - FLORIDA (CAUCA);Aerea;Si;230.0;245.0;800.0;960.0;286.83;0.0;NARIÑO;PASTO;SubArea Cauca-Narino
LT-LT-000c4991;BUCHELY - GUAPI 1 110 kV;probando;Operacion;11/11/2007;Uso STR;BUCHELY - GUAPI;Subterranea;Si;110.0;123.0;500.0;600.0;85.74;0.0;NARIÑO;SAN ANDRÉS DE TUMACO;SubArea Cauca-Narino
LT-LT-2cc3cdcf;CABAÑA (CAUCA) - FLORIDA (CAUCA) 1 115 kV;pruebae;Mantenimiento;11/11/2007;Generacion;CABAÑA (CAUCA) - FLORIDA (CAUCA);Aerea;Si;115.0;123.0;400.0;480.0;71.71;0.0;CAUCA;GUACHENÉ;SubArea Cauca-Narino
